frame,joint,x,y
16,left_shoulder,367,592
16,right_elbow,283,640
16,left_elbow,377,640
16,right_wrist,271,682
16,left_wrist,385,682
16,right_hip,311,686
16,left_hip,348,687
17,right_shoulder,300,591
17,left_shoulder,367,592
17,right_elbow,283,640
17,left_elbow,377,640
17,right_wrist,270,682
17,left_wrist,386,682
17,right_hip,311,686
17,left_hip,348,687
18,right_shoulder,300,591
18,left_shoulder,367,592
18,right_elbow,283,640
18,left_elbow,377,640
18,right_wrist,268,681
18,left_wrist,388,681
18,right_hip,311,686
18,left_hip,348,687
19,right_shoulder,300,591
19,left_shoulder,367,592
19,right_elbow,283,639
19,left_elbow,377,638
19,right_wrist,263,676
19,left_wrist,393,675
19,right_hip,311,686
19,left_hip,348,687
20,right_shoulder,300,590
20,left_shoulder,367,592
20,right_elbow,282,638
20,left_elbow,380,637
20,right_wrist,255,671
20,left_wrist,402,671
20,right_hip,311,686
20,left_hip,348,687
21,right_shoulder,300,590
21,left_shoulder,367,592
21,right_elbow,279,635
21,left_elbow,383,635
21,right_wrist,244,663
21,left_wrist,411,664
21,right_hip,311,686
21,left_hip,348,686
22,right_shoulder,300,590
22,left_shoulder,367,592
22,right_elbow,275,630
22,left_elbow,387,631
22,right_wrist,238,654
22,left_wrist,418,657
22,right_hip,312,686
22,left_hip,348,686
23,right_shoulder,300,590
23,left_shoulder,367,592
23,right_elbow,268,628
23,left_elbow,392,628
23,right_wrist,226,645
23,left_wrist,428,649
23,right_hip,312,685
23,left_hip,348,686
24,right_shoulder,300,590
24,left_shoulder,367,592
24,right_elbow,264,624
24,left_elbow,398,627
24,right_wrist,220,637
24,left_wrist,435,641
24,right_hip,312,685
24,left_hip,348,686
25,right_shoulder,300,589
25,left_shoulder,367,592
25,right_elbow,262,620
25,left_elbow,402,625
25,right_wrist,216,628
25,left_wrist,443,634
25,right_hip,312,685
25,left_hip,348,685
26,right_shoulder,300,589
26,left_shoulder,367,592
26,right_elbow,258,615
26,left_elbow,405,623
26,right_wrist,210,620
26,left_wrist,447,628
26,right_hip,311,685
26,left_hip,348,685
27,right_shoulder,299,589
27,left_shoulder,367,592
27,right_elbow,256,611
27,left_elbow,408,616
27,right_wrist,210,614
27,left_wrist,452,621
27,right_hip,311,685
27,left_hip,348,685
28,right_shoulder,299,589
28,left_shoulder,367,592
28,right_elbow,254,606
28,left_elbow,411,612
28,right_wrist,207,607
28,left_wrist,456,614
28,right_hip,311,685
28,left_hip,348,685
29,right_shoulder,299,588
29,left_shoulder,367,592
29,right_elbow,251,602
29,left_elbow,413,609
29,right_wrist,204,602
29,left_wrist,459,610
29,right_hip,311,685
29,left_hip,348,685
30,right_shoulder,299,588
30,left_shoulder,368,591
30,right_elbow,249,598
30,left_elbow,414,606
30,right_wrist,200,596
30,left_wrist,461,606
30,right_hip,310,685
30,left_hip,348,685
31,right_shoulder,299,587
31,left_shoulder,368,590
31,right_elbow,250,596
31,left_elbow,415,604
31,right_wrist,204,593
31,left_wrist,463,603
31,right_hip,310,685
31,left_hip,347,685
32,right_shoulder,299,587
32,left_shoulder,368,590
32,right_elbow,250,594
32,left_elbow,415,601
32,right_wrist,205,590
32,left_wrist,463,601
32,right_hip,310,685
32,left_hip,347,685
33,right_shoulder,299,586
33,left_shoulder,368,590
33,right_elbow,250,593
33,left_elbow,416,599
33,right_wrist,205,589
33,left_wrist,463,598
33,right_hip,310,685
33,left_hip,347,685
34,right_shoulder,299,586
34,left_shoulder,368,590
34,right_elbow,251,592
34,left_elbow,417,597
34,right_wrist,205,589
34,left_wrist,464,596
34,right_hip,310,685
34,left_hip,347,685
35,right_shoulder,300,586
35,left_shoulder,368,590
35,right_elbow,251,590
35,left_elbow,417,596
35,right_wrist,205,588
35,left_wrist,465,595
35,right_hip,310,685
35,left_hip,347,685
36,right_shoulder,300,585
36,left_shoulder,368,589
36,right_elbow,251,590
36,left_elbow,417,596
36,right_wrist,205,588
36,left_wrist,465,594
36,right_hip,310,685
36,left_hip,347,685
37,right_shoulder,300,585
37,left_shoulder,368,589
37,right_elbow,251,589
37,left_elbow,417,595
37,right_wrist,205,588
37,left_wrist,465,594
37,right_hip,310,685
37,left_hip,347,685
38,right_shoulder,300,585
38,left_shoulder,368,589
38,right_elbow,251,589
38,left_elbow,417,595
38,right_wrist,205,587
38,left_wrist,465,594
38,right_hip,310,685
38,left_hip,347,685
39,right_shoulder,300,585
39,left_shoulder,368,589
39,right_elbow,251,589
39,left_elbow,417,595
39,right_wrist,205,587
39,left_wrist,465,594
39,right_hip,310,685
39,left_hip,347,685
40,right_shoulder,300,585
40,left_shoulder,368,589
40,right_elbow,251,589
40,left_elbow,417,595
40,right_wrist,205,587
40,left_wrist,464,594
40,right_hip,310,685
40,left_hip,347,685
41,right_shoulder,300,585
41,left_shoulder,368,589
41,right_elbow,251,589
41,left_elbow,417,594
41,right_wrist,205,587
41,left_wrist,464,594
41,right_hip,310,685
41,left_hip,347,685
42,right_shoulder,300,585
42,left_shoulder,368,589
42,right_elbow,251,589
42,left_elbow,417,594
42,right_wrist,205,587
42,left_wrist,464,594
42,right_hip,310,685
42,left_hip,347,685
43,right_shoulder,300,585
43,left_shoulder,368,589
43,right_elbow,251,589
43,left_elbow,417,594
43,right_wrist,205,587
43,left_wrist,464,593
43,right_hip,310,685
43,left_hip,347,685
44,right_shoulder,300,585
44,left_shoulder,368,589
44,right_elbow,251,589
44,left_elbow,417,594
44,right_wrist,204,587
44,left_wrist,464,593
44,right_hip,310,685
44,left_hip,347,685
45,right_shoulder,300,585
45,left_shoulder,368,589
45,right_elbow,251,589
45,left_elbow,417,594
45,right_wrist,204,588
45,left_wrist,464,593
45,right_hip,310,685
45,left_hip,347,685
46,right_shoulder,300,585
46,left_shoulder,368,589
46,right_elbow,251,589
46,left_elbow,417,594
46,right_wrist,204,588
46,left_wrist,464,593
46,right_hip,310,685
46,left_hip,347,685
47,right_shoulder,300,585
47,left_shoulder,368,589
47,right_elbow,251,589
47,left_elbow,417,594
47,right_wrist,204,588
47,left_wrist,464,594
47,right_hip,310,685
47,left_hip,347,685
48,right_shoulder,300,585
48,left_shoulder,368,589
48,right_elbow,250,589
48,left_elbow,417,594
48,right_wrist,202,588
48,left_wrist,464,594
48,right_hip,310,685
48,left_hip,347,685
49,right_shoulder,300,585
49,left_shoulder,368,589
49,right_elbow,250,589
49,left_elbow,417,594
49,right_wrist,202,588
49,left_wrist,464,594
49,right_hip,310,685
49,left_hip,347,685
50,right_shoulder,300,585
50,left_shoulder,368,589
50,right_elbow,250,589
50,left_elbow,417,595
50,right_wrist,204,588
50,left_wrist,464,595
50,right_hip,310,685
50,left_hip,347,685
51,right_shoulder,300,585
51,left_shoulder,368,589
51,right_elbow,250,590
51,left_elbow,417,595
51,right_wrist,205,589
51,left_wrist,464,596
51,right_hip,310,685
51,left_hip,346,685
52,right_shoulder,300,585
52,left_shoulder,368,589
52,right_elbow,250,591
52,left_elbow,417,596
52,right_wrist,205,590
52,left_wrist,464,597
52,right_hip,310,685
52,left_hip,346,685
53,right_shoulder,300,585
53,left_shoulder,368,589
53,right_elbow,250,592
53,left_elbow,417,596
53,right_wrist,205,591
53,left_wrist,463,599
53,right_hip,310,685
53,left_hip,346,685
54,right_shoulder,300,585
54,left_shoulder,368,589
54,right_elbow,250,592
54,left_elbow,417,596
54,right_wrist,205,592
54,left_wrist,463,600
54,right_hip,310,685
54,left_hip,346,685
55,right_shoulder,300,585
55,left_shoulder,368,589
55,right_elbow,250,593
55,left_elbow,417,597
55,right_wrist,205,593
55,left_wrist,462,600
55,right_hip,310,685
55,left_hip,346,685
56,right_shoulder,300,585
56,left_shoulder,368,589
56,right_elbow,250,593
56,left_elbow,417,597
56,right_wrist,205,594
56,left_wrist,462,601
56,right_hip,310,685
56,left_hip,346,685
57,right_shoulder,300,585
57,left_shoulder,368,589
57,right_elbow,251,593
57,left_elbow,416,598
57,right_wrist,206,594
57,left_wrist,462,601
57,right_hip,310,685
57,left_hip,346,685
58,right_shoulder,300,585
58,left_shoulder,368,589
58,right_elbow,251,593
58,left_elbow,416,598
58,right_wrist,206,594
58,left_wrist,462,601
58,right_hip,310,685
58,left_hip,346,685
59,right_shoulder,300,585
59,left_shoulder,368,589
59,right_elbow,250,593
59,left_elbow,416,598
59,right_wrist,205,594
59,left_wrist,462,601
59,right_hip,310,685
59,left_hip,346,685
60,right_shoulder,300,585
60,left_shoulder,368,589
60,right_elbow,251,593
60,left_elbow,416,598
60,right_wrist,206,593
60,left_wrist,462,600
60,right_hip,310,685
60,left_hip,346,685
